brand,operating_system,RAM_nth,storage_nth,storage_type,cpu_benchmark,gpu_class,screen_size,PPI,warranty,refurbished,price
ASUS,WINDOWS,3,9,SSD,16015,2,15.6,141,1,NO,699.99
ASUS,WINDOWS,4,9,SSD,11024,2,16,275,0,NO,999.99
ASUS,WINDOWS,3,9,SSD,18984,2,15.6,141,1,NO,889.99
ACER,WINDOWS,3,9,SSD,13181,2,14,157,0,NO,899.99
ASUS,WINDOWS,4,9,SSD,21366,2,15.6,141,1,NO,980.99
MEDION,WINDOWS,3,9,SSD,17163,2,15.6,141,2,NO,639.99
LENOVO,WINDOWS,3,9,SSD,11024,2,15.6,141,1,NO,849.97
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,749.99
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,749.97
MSI,WINDOWS,3,9,SSD,16015,2,15.6,141,1,NO,729.99
LENOVO,WINDOWS,3,9,SSD,20179,2,15.6,141,1,NO,799.99
ASUS,WINDOWS,3,9,SSD,16015,2,17.3,127,1,NO,1070.92
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,849.99
ACER,WINDOWS,3,9,SSD,16015,2,15.6,141,1,NO,889.99
ACER,WINDOWS,4,9,SSD,22343,2,15.6,141,1,NO,899.97
ASUS,WINDOWS,4,9,SSD,18984,2,15.6,141,1,NO,989.99
ASUS,WINDOWS,3,9,SSD,16015,2,15.6,141,1,NO,749.99
LENOVO,WINDOWS,3,9,SSD,11024,2,15.6,141,1,NO,839.99
MEDION,WINDOWS,4,9,SSD,17163,2,15.6,141,2,NO,789.99
HP,WINDOWS,4,9,SSD,21366,2,16.1,137,1,NO,899.97
HP,WINDOWS,4,9,SSD,17163,2,16.1,137,1,NO,849.97
ACER,WINDOWS,4,9,SSD,21366,2,15.6,141,1,NO,1079.99
MEDION,WINDOWS,4,9,SSD,17163,2,15.6,141,2,NO,789.99
LENOVO,WINDOWS,4,9,SSD,21366,2,17.3,127,1,NO,1199.97
ASUS,WINDOWS,3,9,SSD,11966,2,15.6,141,1,NO,859.99
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,869.99
MSI,WINDOWS,4,9,SSD,21223,2,15.6,141,1,NO,1159.99
OTHER,WINDOWS,4,9,SSD,11641,2,15.6,141,2,NO,999.99
RAZER,WINDOWS,4,9,SSD,15381,2,17.3,127,1,NO,2578.1
LENOVO,WINDOWS,3,9,SSD,16015,2,17.3,127,1,NO,999.97
ACER,WINDOWS,4,9,SSD,27127,2,15.6,141,1,NO,1149.97
LENOVO,WINDOWS,4,9,SSD,23322,2,15.6,188,1,NO,1435.86
OTHER,WINDOWS,4,9,SSD,14939,2,15.6,141,0,NO,1399.97
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,899.97
LENOVO,WINDOWS,4,9,SSD,16015,2,17.3,127,1,NO,1129.99
OTHER,WINDOWS,4,9,SSD,14939,2,15.6,141,0,NO,1199.97
LENOVO,WINDOWS,3,9,SSD,17163,2,15.6,141,1,NO,899.97
ACER,WINDOWS,4,9,SSD,22343,2,15.6,141,1,NO,1049.97
LENOVO,WINDOWS,4,9,SSD,20179,2,15.6,188,1,NO,1149.97
MEDION,WINDOWS,4,9,SSD,21366,1,17.3,170,2,NO,1329.99
LENOVO,WINDOWS,4,9,SSD,21366,1,17.3,127,1,NO,1399.97
MEDION,WINDOWS,4,9,SSD,21366,1,17.3,170,2,NO,1329.99
LENOVO,WINDOWS,4,9,SSD,21366,1,15.6,141,1,NO,1399.97
LENOVO,WINDOWS,4,9,SSD,23322,1,15.6,188,1,NO,1699.97
ASUS,WINDOWS,4,9,SSD,10505,3,14,157,0,NO,1269.99
LENOVO,WINDOWS,4,9,SSD,22343,2,15.6,141,1,NO,999.99
LENOVO,WINDOWS,4,9,SSD,22343,2,15.6,141,1,NO,1069.99
OTHER,WINDOWS,4,9,SSD,16849,2,17.3,127,0,NO,2679.99
LENOVO,WINDOWS,4,9,SSD,22608,3,13.3,255,3,NO,2000.99
LENOVO,WINDOWS,3,9,SSD,7088,3,15.6,141,1,NO,486.99
APPLE,MACOS,4,9,SSD,14543,2,14,254,1,NO,1751.49
APPLE,MACOS,4,9,SSD,41175,2,16,254,1,NO,2210.49
APPLE,MACOS,4,9,SSD,41175,2,16,254,1,NO,2210.49
APPLE,MACOS,4,9,SSD,14543,3,13,224,1,NO,1389
APPLE,MACOS,3,9,SSD,14543,3,13,227,1,NO,1542.49
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,1564.49
LENOVO,WINDOWS,4,9,SSD,8656,2,15.6,141,1,NO,871.99
DELL,WINDOWS,4,9,SSD,12285,2,15.6,145,1,NO,1720.99
LENOVO,WINDOWS,3,9,SSD,10505,3,17.3,127,1,NO,857.99
LENOVO,WINDOWS,5,9,SSD,12285,2,15.6,141,3,NO,1901.99
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,1,NO,1194.49
DELL,WINDOWS,4,9,SSD,27127,2,15.6,141,1,NO,1731.49
LENOVO,WINDOWS,4,9,SSD,21366,2,16,189,1,NO,1239.99
LENOVO,WINDOWS,4,9,SSD,7013,3,14,157,3,NO,1024.49
LENOVO,WINDOWS,4,9,SSD,10076,2,15.6,141,3,NO,849.49
LENOVO,WINDOWS,4,9,SSD,10837,2,15.6,141,3,NO,1720.99
LENOVO,WINDOWS,4,9,SSD,10505,2,14,157,3,NO,1505.99
LENOVO,WINDOWS,4,9,SSD,10505,2,15.6,141,3,NO,1510.49
LENOVO,WINDOWS,4,9,SSD,10837,2,14,157,3,NO,1724.99
LENOVO,WINDOWS,4,9,SSD,10505,2,14,157,3,NO,1409.49
HP,WINDOWS,4,9,SSD,27127,3,15.6,141,3,NO,1576.99
DELL,WINDOWS,4,9,SSD,27127,2,15.6,141,3,NO,2211.99
HP,WINDOWS,4,9,SSD,27127,2,15.6,141,3,NO,1686.99
DELL,WINDOWS,5,9,SSD,27127,2,15.6,141,3,NO,2545.49
LENOVO,WINDOWS,4,9,SSD,22413,2,15.6,141,3,NO,2751.99
LENOVO,WINDOWS,4,9,SSD,21223,2,17.3,127,3,NO,2553.99
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,2108.49
LENOVO,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,2467.49
HP,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,2107.49
HP,WINDOWS,4,9,SSD,21223,2,15.6,141,3,NO,2753.49
